locus,oldLocus,gene,description,logFC,qvalue
VC_RS10360,VC2154; VC_2154,,DUF2897 family protein,1.05085953439197,0.0008739281769969
VC_RS10365,VC2156; VC_2156,bamC,outer membrane protein assembly factor BamC,0.719919261161831,0.0009465353958718
VC_RS10370,VC2157; VC_2157,dapA,4-hydroxy-tetrahydrodipicolinate synthase,0.343142922485285,0.110599081051403
VC_RS10375,VC2159; VC_2159,,glycine cleavage system protein R,0.47619429362975,0.004196517335965
VC_RS10380,VC2160; VC_2160,bcp,thioredoxin-dependent thiol peroxidase,-0.971983188459154,0.0015578439742231
VC_RS10385,VC2161; VC_2161,mlp24,methyl-accepting chemotaxis protein Mlp24,-1.32972525696997,3.6745963110442e-05
VC_RS10390,VC2162; VC_2162,,AI-2E family transporter,-0.0551261711575642,0.740745412553405
VC_RS10395,VC2163; VC_2163,,sulfurtransferase TusA family protein,-0.177336616107132,0.439006058007725
VC_RS10400,VC2164; VC_2164,,beta-barrel assembly-enhancing protease,2.86611784925512,2.32001084173926e-10
VC_RS10405,VC2165; VC_2165,arsC,arsenate reductase (glutaredoxin),2.63845666535541,1.25767549135811e-07
VC_RS10410,VC2166; VC_2166,wrbA,NAD(P)H:quinone oxidoreductase,1.93388490990452,1.07401294400901e-07
VC_RS10415,VC2167; VC_2167,,DUF2069 domain-containing protein,1.44703433237964,5.36793980305581e-07
VC_RS10420,VC2168; VC_2168,,DUF2066 domain-containing protein,0.0660620730034613,0.732304172675986
VC_RS10425,VC2171; VC_2171,,uracil-xanthine permease family protein,-4.01986621829368,6.77311741037028e-08
VC_RS10430,VC2172; VC_2172,ybaK,Cys-tRNA(Pro) deacylase,-0.378611514730851,0.111741549875799
VC_RS10435,VC2174; VC_2174,ushA,bifunctional UDP-sugar hydrolase/5'-nucleotidase UshA,-0.152301650715357,0.482414363620839
VC_RS10440,VC2175; VC_2175,kdsA,3-deoxy-8-phosphooctulonate synthase,-0.966502515499904,1.65192872436669e-05
VC_RS10445,VC2176; VC_2176,,SirB1 family protein,-1.64834037391831,7.45706941521771e-07
