locus,oldLocus,gene,description,logFC,qvalue
VC_RS11015,VC2280; VC_2280,,ATP-dependent zinc protease family protein,-0.0786076829393128,0.694910215672513
VC_RS11020,VC2281; VC_2281,rimK,30S ribosomal protein S6--L-glutamate ligase,-0.544527205987608,0.0072438636950312
VC_RS11025,VC2282; VC_2282,,succinylglutamate desuccinylase/aspartoacylase family protein,-0.173198242537671,0.323906830890138
VC_RS11030,VC2283; VC_2283,,sodium-dependent transporter,-1.36032583552933,5.61993414203331e-05
VC_RS11035,VC2285; VC_2285,,diguanylate cyclase,0.363355303912383,0.0370878531515346
VC_RS11040,VC2286; VC_2286,,YggN family protein,1.14753768832821,0.0001469926523668
VC_RS11045,VC2287; VC_2287,dinB,DNA polymerase IV,-0.565670240491983,0.0931760946174981
VC_RS11050,VC2288; VC_2288,nqrM,(Na+)-NQR maturation NqrM,-0.0222261315846577,0.956511150282267
VC_RS11055,VC2289; VC_2289,,FAD:protein FMN transferase,-1.30278678849481,4.47450263949836e-05
VC_RS11060,VC2290; VC_2290,nqrF,NADH:ubiquinone reductase (Na(+)-transporting) subunit F,-0.99564927715408,0.0003933431590554
VC_RS11065,VC2291; VC_2291,nqrE,NADH:ubiquinone reductase (Na(+)-transporting) subunit E,-0.945510733824954,0.000450840336827
VC_RS11070,VC2292; VC_2292,,NADH:ubiquinone reductase (Na(+)-transporting) subunit D,-1.02291132268454,0.0005873157108043
VC_RS11075,VC2293; VC_2293,,Na(+)-translocating NADH-quinone reductase subunit C,-1.24593397397842,4.47450263949836e-05
VC_RS11080,VC2294; VC_2294,,NADH:ubiquinone reductase (Na(+)-transporting) subunit B,-0.960671146241184,0.000198537512889
VC_RS11085,VC2295; VC_2295,,Na(+)-translocating NADH-quinone reductase subunit A,-1.27484103226296,7.59082136008191e-06
VC_RS11090,VC2296; VC_2296,,BolA family protein,0.650327367367975,0.0035019536259463
VC_RS11095,VC2297; VC_2297,,methyltransferase,0.75752238748257,0.0005146479917826
VC_RS11100,VC2298; VC_2298,,YajG family lipoprotein,0.12511419060401,0.449594487147729
VC_RS11105,VC2299; VC_2299,,peptidylprolyl isomerase,-0.0354662250993922,0.879736472898413
VC_RS11115,VC2300; VC_2300,,AmpG family muropeptide MFS transporter,-0.306762974168019,0.0811624820036957
VC_RS11120,VC2301; VC_2301,,ChrR family anti-sigma-E factor,1.36799022202257,0.0010230288146391
VC_RS11125,VC2302; VC_2302,,RNA polymerase sigma factor,0.389077133272558,0.103089210313803
VC_RS11130,VC2303; VC_2303,,LON peptidase substrate-binding domain-containing protein,1.44680554463034,3.12297138848336e-05
VC_RS11135,VC2305; VC_2305,,outer membrane protein OmpK,-0.5753785638325,0.023241995746328
VC_RS11140,VC2307; VC_2307,panE,2-dehydropantoate 2-reductase,-0.176867509937748,0.560533265193022
VC_RS11145,VC2308; VC_2308,,DJ-1 family glyoxalase III,0.146425074997003,0.488920011476936
VC_RS11150,VC2309; VC_2309,csdA,cysteine desulfurase CsdA,0.687988118401154,0.0014011596747782
VC_RS11155,VC2310; VC_2310,csdE,cysteine desulfurase sulfur acceptor subunit CsdE,-0.65114612391013,0.0376234797068095
VC_RS11160,VC2311; VC_2311,tcdA,tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA,-0.972695377600871,0.0025011283417283
VC_RS11165,VC2312; VC_2312,mltA,murein transglycosylase A,0.443646184337331,0.0120079841809958
VC_RS11170,VC2314; VC_2314,,DUF2850 domain-containing protein,1.1740695435078,0.0034156440976637
VC_RS11175,VC2316; VC_2316,argA,amino-acid N-acetyltransferase,1.71118775493335,0.0047909459235322
VC_RS11180,VC2318; VC_2318,,hypothetical protein,0.782862328065328,0.0806409137844643
VC_RS11185,VC2319; VC_2319,recD,exodeoxyribonuclease V subunit alpha,0.528976882088803,0.003592522144313
VC_RS11190,VC2320; VC_2320,recB,exodeoxyribonuclease V subunit beta,-0.053815400084408,0.822481986096009
VC_RS11195,VC2322; VC_2322,recC,exodeoxyribonuclease V subunit gamma,-0.130699642501437,0.423210480267117
VC_RS11200,VC2323; VC_2323,,TDT family transporter,-0.218255496803885,0.287587022341637
VC_RS11205,VC2324; VC_2324,,LysR family transcriptional regulator,0.259774671747693,0.485237663352407
VC_RS11210,VC2326; VC_2326,,YebG family protein,-0.39267984431171,0.103628280963614
VC_RS11215,VC2329; VC_2329,dapD,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",0.429157102306125,0.0294106536865379
VC_RS11220,VC2330; VC_2330,,NnrS family protein,0.211181814811309,0.438767805602484
VC_RS11225,VC2332; VC_2332,,GNAT family N-acetyltransferase/peptidase C39 family protein,0.204204246010428,0.210636441055642
VC_RS11230,VC2333; VC_2333,,RimK family protein,-0.0570030230861822,0.739825543511906
VC_RS11235,VC2334; VC_2334,,zinc transporter ZntB,0.917113644608624,0.0001939082538464
VC_RS11240,VC2335; VC_2335,,gamma-glutamylcyclotransferase family protein,0.955082199385541,0.0003151808686477
VC_RS11245,VC2336; VC_2336,,tRNA-binding protein,0.749005692024406,0.0135684856221045
VC_RS11250,VC2337; VC_2337,,substrate-binding domain-containing protein,-0.545067354844868,0.0068168381700821
VC_RS11255,VC2338; VC_2338,,beta-galactosidase,1.07552716565762,0.0005074865987533
VC_RS11260,VC2339; VC_2339,chrA,chromate efflux transporter,0.171484741603691,0.282533559705663
VC_RS11265,VC2340; VC_2340,,HD-GYP domain-containing protein,2.03956957237941,5.46682407340598e-06
VC_RS11270,VC2341; VC_2341,,AMP-binding protein,0.0327518000642303,0.932462406895675
VC_RS11275,VC2342; VC_2342,fusA,elongation factor G,-1.19550657761357,1.0937711142127e-05
VC_RS11280,VC2343; VC_2343,radA,DNA repair protein RadA,0.06772381138265,0.67817555264755
VC_RS11285,VC2344; VC_2344,,PilZ domain-containing protein,0.351625128864166,0.0177307600214079
VC_RS11290,VC2345; VC_2345,serB,phosphoserine phosphatase,0.815906207323346,0.0023486409362443
VC_RS11295,VC2346; VC_2346,,YtjB family periplasmic protein,0.182657405605012,0.281181153373039
VC_RS11300,VC2347; VC_2347,deoD,purine-nucleoside phosphorylase,1.80567625081645,3.81387842422452e-05
VC_RS11305,VC2348; VC_2348,,phosphopentomutase,0.60593197471692,0.0355267593081774
VC_RS11310,VC2349; VC_2349,deoA,thymidine phosphorylase,0.640375409372241,0.0307737684395702
VC_RS11315,VC2350; VC_2350,deoC,deoxyribose-phosphate aldolase,0.76435632573213,0.0060569132438117
VC_RS11320,VC_2351,,hypothetical protein,0.928074655526169,0.221088194411467
VC_RS11325,VC2352; VC_2352,,NupC/NupG family nucleoside CNT transporter,-1.20305612992909,7.36790444475702e-05
VC_RS11330,VC2353; VC_2353,,TatD family hydrolase,-0.201138236351845,0.236580983493809
VC_RS11335,VC_2354,,DUF5363 family protein,-0.484101846565667,0.400084900617162
VC_RS11340,VC2355; VC_2355,yaaA,peroxide stress protein YaaA,0.132097318859779,0.514183777661064
VC_RS11345,VC2356; VC_2356,,alanine/glycine:cation symporter family protein,0.358953094481158,0.11393513955912
VC_RS11350,VC2357; VC_2357,,DUF3545 family protein,0.524374350257071,0.333002176762273
VC_RS11355,VC2358; VC_2358,,hemerythrin domain-containing protein,0.77682278071289,0.0016167872902822
VC_RS11360,VC2359; VC_2359,ung,uracil-DNA glycosylase,-0.37888696325675,0.139336867136194
VC_RS11365,VC2360; VC_2360,nfo,deoxyribonuclease IV,0.484448183154255,0.021576453007268
VC_RS11370,VC2361; VC_2361,grcA,autonomous glycyl radical cofactor GrcA,0.29622360052428,0.460478729650062
VC_RS11375,VC2362; VC_2362,thrC,threonine synthase,1.06528900622334,0.0002424491373305
VC_RS11380,VC2363; VC_2363,thrB,homoserine kinase,1.26043400997341,8.57509607418949e-06
VC_RS11385,VC2364; VC_2364,thrA,bifunctional aspartate kinase/homoserine dehydrogenase I,0.831820947303993,8.19540735110276e-05
VC_RS11390,,thrL,thr operon leader peptide,-0.291097206689961,0.559454340260931
VC_RS11395,VC2365; VC_2365,,hypothetical protein,-0.20669016647246,0.49354048100928
VC_RS11400,VC2366; VC_2366,,putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase,1.63613300060751,4.98509334552893e-06
VC_RS11405,VC2367; VC_2367,,DUF3293 domain-containing protein,0.999853214853681,0.0221046159052177
VC_RS11410,VC2368; VC_2368,arcA,two-component system response regulator ArcA,-0.542446336238439,0.0284765783392868
VC_RS11415,VC2369; VC_2369,arcB,aerobic respiration two-component sensor histidine kinase ArcB,-0.387749361745638,0.0111479391766273
